site,emails
http://www.pelikan.se/,info@pelikan.se
http://www.woodstockholm.com/,reservations@woodstockholm.com
http://www.restaurangkrypin.se/,
https://www.restaurangtradition.se/,25gamlastan@restaurangtradition.se
https://www.kvarnen.com/?utm_source=google,"Ja@..Tlfir, bokabord@kvarnen.com, e@e.Yt, bokabord@kvarnen.comRead"
http://www.esperia.nu/,"info@esperia.nu, bokning@esperia.nu"
http://stockholmsgastabud.se/,
http://bla-dorren.se/,
http://www.beyondsmak.se/,"order@beyondsmak.se, services@beyondsmak.se"
https://www.ostgotakallaren.se/?utm_source=google,info@ostgotakallaren.se
https://www.google.com/aclk?sa=L&ai=DChsSEwigzYyXtN2PAxV6p_0FHdpQJK0YACICCAEQABoCd2Y&co=1&gclid=EAIaIQobChMIoM2Ml7TdjwMVeqf9BR3aUCStEBAYASAAEgLDcvD_BwE&cce=2&sig=AOD64_27hWncTtzo_AztMdp-e4OoaO1utw&q=&ctype=99&ved=2ahUKEwjzhYiXtN2PAxV4UaQEHSEKF_U4ChCb2gx6BAgmEBA&adurl=,
https://greasyspoon.se/,
https://hermans.se/,
https://www.opizzicato.se/,"info@opizzicato.se, ossinfo@opizzicato.se"
http://restaurangmaestro.se/,info@restaurangmaestro.se
https://akkurat.se/?utm_source=google,
https://punkroyale.com/sv/start/,"specialdiet.stockholm@punkroyale.com, groups.oslo@punkroyale.com, specialdiet.london@punkroyale.com, info@punkroyale.com, groups.copenhagen@punkroyale.com, groups.stockholm@punkroyale.com, specialdiet.oslo@punkroyale.com, KontaktStockholminfo@punkroyale.com, Osloreservation.oslo@punkroyale.com, specialdiet.copenhagen@punkroyale.com, penhamnreservation.copenhagen@punkroyale.com, groups.london@punkroyale.com, benhavnreservation.copenhagen@punkroyale.com, london@punkroyale.com"
https://www.patsplace.se/,
http://falloumi.se/start.html,mjg@hV.CBk
http://nytorget6.com/,hov@nytorget6.com
https://meatball.se/?utm_source=google,meatballs@bockholmengruppen.com
http://www.tresanti.se/,info@tresanti.se
http://www.matbod.se/sodermalm/,hovsoder@matbod.se
http://www.delidiluca.se/,info@delidiluca.se
http://www.checa.se/,"n@T.hp, info@checa.sePhone, checastockholm@icloud.com"
https://www.alskadetraditioner.se/,alskadeisofo@gmail.com
https://www.raouche.se/?utm_source=google,boka@raouche.se
http://www.stekpannan.com/,
